Date,Open,High,Low,Close,Adj Close,Volume
2003-04-22,43613.492188,43662.550781,43073.84375,43171.960938,35839.765625,1488818.0
2003-04-23,43760.671875,44005.964844,42681.371094,42681.371094,35432.496094,946002.0
2003-04-24,42190.78125,43073.84375,40964.304688,41258.660156,34251.414063,1323099.0
2003-04-25,40522.773438,40719.007813,39541.59375,39786.886719,33029.601563,1713751.0
2003-04-28,39247.238281,39639.710938,38413.234375,39051.0,32418.697266,1704782.0
2003-04-29,39639.710938,41111.480469,39443.472656,40915.246094,33966.328125,1451618.0
2003-04-30,41013.363281,41307.71875,40473.714844,41111.480469,34129.230469,1090930.0
2003-05-01,41111.480469,41111.480469,41111.480469,41111.480469,34129.230469,0.0
2003-05-02,41111.480469,41160.539063,39786.886719,40866.1875,33925.597656,793023.0
2003-05-05,40866.1875,40866.1875,40866.1875,40866.1875,33925.597656,0.0
2003-05-06,40915.246094,41602.070313,40424.65625,40522.773438,33640.511719,1011739.0
2003-05-07,41013.363281,42043.605469,40768.070313,42043.605469,34903.042969,1501150.0
2003-05-08,42043.605469,42043.605469,42043.605469,42043.605469,34903.042969,0.0
2003-05-09,41700.191406,42190.78125,41258.660156,42190.78125,35025.230469,890661.0
2003-05-12,43171.960938,43270.078125,42387.015625,42387.015625,35188.136719,1042417.0
2003-05-13,42681.371094,42681.371094,41013.363281,41013.363281,34047.773438,1102039.0
2003-05-14,40620.890625,41160.539063,40179.359375,40326.535156,33477.601563,915733.0
2003-05-15,40620.890625,40915.246094,40424.65625,40620.890625,33721.953125,1028658.0
2003-05-16,40375.597656,40866.1875,39885.003906,40375.597656,33518.335938,929594.0
2003-05-19,39737.828125,39835.945313,39443.472656,39443.472656,32744.509766,1029983.0
2003-05-20,38756.648438,40620.890625,38658.53125,39934.066406,33151.777344,1116919.0
2003-05-21,39737.828125,40228.417969,39394.414063,39492.535156,32785.238281,834096.0
2003-05-22,39492.535156,39983.125,39100.0625,39149.121094,32500.150391,1370797.0
2003-05-23,39541.59375,39835.945313,39149.121094,39590.652344,32866.695313,1175827.0
2003-05-26,39541.59375,40522.773438,39345.355469,39934.066406,33151.777344,849588.0
2003-05-27,39639.710938,39934.066406,39100.0625,39296.296875,32622.332031,1130984.0
2003-05-28,40228.417969,40669.949219,39737.828125,39983.125,33192.511719,1549357.0
2003-05-29,39934.066406,39983.125,39247.238281,39737.828125,32988.878906,1298741.0
2003-05-30,39541.59375,40571.832031,39345.355469,39786.886719,33029.601563,1308423.0
2003-06-02,41013.363281,42975.726563,41013.363281,42975.726563,35676.863281,3258114.0
2003-06-03,42583.253906,43760.671875,42485.136719,43122.902344,35799.039063,2636210.0
2003-06-04,43711.609375,43760.671875,41994.542969,42877.609375,35595.40625,1181229.0
2003-06-05,43368.199219,43466.316406,42779.488281,42877.609375,35595.40625,1133939.0
2003-06-06,42877.609375,42877.609375,42877.609375,42877.609375,35595.40625,0.0
2003-06-09,42239.839844,43319.140625,42092.664063,43171.960938,35839.765625,1091439.0
2003-06-10,43073.84375,43956.90625,42779.488281,43662.550781,36247.035156,1484129.0
2003-06-11,44153.144531,45134.324219,43956.90625,44545.613281,36980.125,1774698.0
2003-06-12,45036.207031,45183.382813,44300.320313,44447.496094,36898.671875,1453248.0
2003-06-13,44839.96875,45085.265625,43319.140625,44447.496094,36898.671875,1525202.0
2003-06-16,44055.023438,44055.023438,43368.199219,43564.433594,36165.578125,684990.0
2003-06-17,44741.851563,44741.851563,43760.671875,44153.144531,36654.308594,1325749.0
2003-06-18,44153.144531,46606.09375,44153.144531,46606.09375,38690.660156,2476301.0
2003-06-19,47047.625,47930.6875,46115.503906,47440.097656,39383.015625,1839110.0
2003-06-20,46606.09375,48666.574219,46606.09375,47489.15625,39423.753906,1702540.0
2003-06-23,47489.15625,47685.394531,45821.148438,45821.148438,38039.027344,912981.0
2003-06-24,44987.148438,45526.796875,44447.496094,45526.796875,37794.675781,1000834.0
2003-06-25,45919.269531,47391.039063,44889.027344,46949.507813,38975.75,1200390.0
2003-06-26,46115.503906,48666.574219,46115.503906,47734.453125,39627.382813,1396684.0
2003-06-27,48568.457031,49549.636719,48519.398438,49059.046875,40726.996094,2133755.0
2003-06-30,48617.515625,49647.757813,47979.75,48862.8125,40564.113281,953646.0
2003-07-01,48764.691406,49353.402344,48175.984375,49353.402344,40971.375,666136.0
2003-07-02,50138.347656,51021.410156,50138.347656,50138.347656,41623.003906,1437655.0
2003-07-03,51315.761719,51512.0,48960.929688,49647.757813,41215.730469,1388938.0
2003-07-04,49745.875,50432.699219,48960.929688,50432.699219,41867.363281,647586.0
2003-07-07,51315.761719,51904.472656,50825.171875,51708.234375,42926.273438,909720.0
2003-07-08,52689.417969,52689.417969,51119.527344,52002.589844,43170.621094,1443974.0
2003-07-09,51806.355469,51806.355469,49745.875,50334.582031,41785.914063,1764914.0
2003-07-10,49745.875,50530.820313,49451.519531,49843.992188,41378.644531,1162782.0
2003-07-11,49059.046875,50236.464844,48421.28125,50236.464844,41704.445313,1010516.0
2003-07-14,49843.992188,50628.9375,49647.757813,50530.820313,41948.816406,1223627.0
2003-07-15,50530.820313,50530.820313,48666.574219,48666.574219,40401.195313,1302002.0
2003-07-16,49353.402344,49549.636719,47881.628906,49255.285156,40889.914063,1371306.0
2003-07-17,49255.285156,49255.285156,49255.285156,49255.285156,40889.914063,0.0
2003-07-18,47979.75,50040.226563,47979.75,49059.046875,40726.996094,1312805.0
2003-07-21,48862.8125,49745.875,48764.691406,48960.929688,40645.550781,752052.0
2003-07-22,48960.929688,49451.519531,47685.394531,49255.285156,40889.914063,1042315.0
2003-07-23,49647.757813,49647.757813,48225.042969,48274.101563,40075.371094,695794.0
2003-07-24,47685.394531,48862.8125,47636.335938,48372.222656,40156.835938,1002975.0
2003-07-25,47881.628906,49157.164063,47881.628906,48666.574219,40401.195313,892190.0
2003-07-28,50040.226563,51708.234375,49745.875,51708.234375,42926.273438,1768073.0
