Date,Close,Open,High,Low
2019-12-19,67.88,68.06,68.21,67.82
2019-12-20,67.9,67.24,67.91,66.92
2019-12-21,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-22,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-23,68.08,67.81,68.17,67.6
2019-12-24,67.76,67.98,68.0,67.76
2019-12-25,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-26,68.02,68.0,68.03,67.85
2019-12-27,67.78,68.03,68.1,67.73
2019-12-28,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-29,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2019-12-30,67.72,67.78,67.79,67.25
2019-12-31,68.0,67.72,68.03,67.51
2020-01-01,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-02,69.06,68.3,69.06,68.28
2020-01-03,68.08,68.5,68.65,67.96
2020-01-04,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-05,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-06,69.11,68.25,69.2,68.22
2020-01-07,70.2,70.51,70.58,69.81
2020-01-08,70.46,70.8,71.12,70.37
2020-01-09,71.03,71.4,71.66,70.59
2020-01-10,70.86,71.46,71.46,70.74
2020-01-11,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-12,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-13,71.64,71.39,71.7,71.08
2020-01-14,72.47,72.94,72.95,72.01
2020-01-15,71.6,71.6,72.12,71.45
2020-01-16,72.62,72.23,72.72,72.2
2020-01-17,72.48,72.72,72.72,72.16
2020-01-18,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-19,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-20,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-21,72.13,72.5,72.5,72.11
2020-01-22,72.38,72.57,72.68,72.17
2020-01-23,72.59,72.75,72.75,72.02
2020-01-24,71.88,72.64,72.68,71.48
2020-01-25,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-26,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-01-27,71.31,71.44,71.7,71.15
2020-01-28,72.02,71.7,72.21,71.35
2020-01-29,71.8,71.9,72.02,71.65
2020-01-30,71.14,70.63,71.31,70.21
2020-01-31,70.18,70.99,70.99,69.91
2020-02-01,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-02-02,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-02-03,70.48,70.29,70.9,70.25
2020-02-04,73.0,72.17,73.86,71.16
2020-02-05,70.51,70.66,71.06,70.35
2020-02-06,71.55,70.97,71.55,70.97
2020-02-07,70.09,71.0,71.25,69.71
2020-02-08,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-02-09,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-02-10,70.17,70.13,70.21,69.63
2020-02-11,70.32,70.63,70.85,70.19
2020-02-12,70.77,70.3,70.79,70.3
2020-02-13,69.6,69.92,69.92,69.51
2020-02-14,68.83,69.48,69.53,68.46
2020-02-15,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-02-16,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-02-17,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-02-18,66.64,66.42,67.09,66.1
2020-02-19,67.07,66.96,67.37,66.87
2020-02-20,66.74,66.91,67.17,66.03
2020-02-21,65.94,66.95,67.0,65.75
2020-02-22,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-02-23,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-02-24,63.93,64.0,64.58,63.51
2020-02-25,63.58,65.25,65.5,63.13
2020-02-26,63.94,64.36,64.83,63.78
2020-02-27,60.89,61.91,62.72,60.88
2020-02-28,62.2,59.49,62.46,59.35
2020-02-29,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-03-01,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-03-02,64.16,63.6,64.26,62.31
2020-03-03,63.18,63.77,64.51,62.56
2020-03-04,64.79,63.78,64.95,63.57
2020-03-05,63.44,63.85,63.99,62.92
2020-03-06,63.12,62.8,63.24,62.16
2020-03-07,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-03-08,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-03-09,58.53,58.19,60.47,58.0
2020-03-10,60.33,61.09,61.15,59.06
2020-03-11,57.79,58.95,59.34,57.44
2020-03-12,52.57,54.53,55.47,51.5
2020-03-13,56.32,56.35,56.67,53.29
2020-03-14,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-03-15,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-03-16,51.68,52.0,53.86,50.94
2020-03-17,55.2,53.41,55.37,52.65
2020-03-18,54.79,54.78,58.1,52.08
2020-03-19,55.4,54.86,56.04,53.6
2020-03-20,53.06,56.48,56.9,52.82
2020-03-21,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-03-22,83.84201058201059,83.86162509448225,84.49095993953138,83.18297808012093
2020-03-23,52.9,53.94,54.4,51.58
2020-03-24,57.0,56.3,57.0,55.56
